rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
589,Sciences Po,France,28,-,60,61,1844,73.3,sciencespo.fr
590,Polytechnic University of Turin,Italy,29,-,815,-,555,73.3,polito.it
591,University of Aveiro,Portugal,6,-,-,-,552,73.3,ua.pt
592,Toulouse INP,France,29,-,245,-,607,73.3,inp-toulouse.fr
593,University of Udine,Italy,30,-,-,-,554,73.3,uniud.it
594,University of Salerno,Italy,31,-,-,-,556,73.2,unisa.it
595,Federal University of São Paulo,Brazil,7,-,-,-,557,73.2,unifesp.br
596,"St George's, University of London",United Kingdom,42,-,-,-,558,73.2,sgul.ac.uk
597,Bielefeld University,Germany,40,-,1452,-,560,73.2,uni-bielefeld.de
598,Cinvestav,Mexico,2,-,-,-,562,73.2,cinvestav.mx
599,University of Eastern Piedmont,Italy,32,-,-,-,564,73.2,uniupo.it
600,University of Plymouth,United Kingdom,43,-,1458,-,565,73.2,plymouth.ac.uk
601,China University of Petroleum,China,61,-,625,-,578,73.2,upc.edu.cn & cup.edu.cn
602,University of Cagliari,Italy,33,-,-,-,566,73.2,unica.it
603,Southwest University,China,62,481,1409,-,567,73.2,swu.edu.cn
604,Institut national des sciences appliquées de Lyon,France,30,-,-,-,569,73.2,insa-lyon.fr
605,Utah State University,USA,159,351,846,-,576,73.1,usu.edu
606,University of Brescia,Italy,34,-,-,-,570,73.1,unibs.it
607,Comenius University in Bratislava,Slovak Republic,1,-,-,-,571,73.1,uniba.sk
608,Sharif University of Technology,Iran,3,399,-,-,573,73.1,sharif.ir
609,Czech Technical University in Prague,Czech Republic,4,398,-,-,574,73.1,cvut.cz
610,Second Military Medical University,China,63,-,-,-,572,73.1,smmu.edu.cn
611,Jinan University,China,64,-,615,-,587,73.1,jnu.edu.cn
612,Nanjing Tech University,China,65,-,-,-,575,73.1,njtech.edu.cn
613,University of Québec at Montreal,Canada,23,-,937,-,579,73.1,uqam.ca
614,Catholic University of Korea,South Korea,15,-,-,-,577,73.1,catholic.ac.kr
615,Tilburg University,Netherlands,13,-,363,-,601,73.1,tilburguniversity.edu
616,University of Bayreuth,Germany,41,-,1401,-,580,73,uni-bayreuth.de
617,Jeonbuk National University,South Korea,16,-,-,-,582,73,jbnu.ac.kr
618,Saarland University,Germany,42,-,463,-,597,73,uni-saarland.de
619,National University of La Plata,Argentina,2,-,1404,-,583,73,unlp.edu.ar
620,University of Konstanz,Germany,43,-,-,-,584,73,uni-konstanz.de
621,Central China Normal University,China,66,-,1118,-,586,73,ccnu.edu.cn
622,"National University of Ireland, Galway",Ireland,4,263,1436,-,596,73,nuigalway.ie
623,University of La Laguna,Spain,18,-,-,-,590,73,ull.es
624,AGH University of Science and Technology,Poland,3,-,841,-,591,73,agh.edu.pl
625,Memorial University of Newfoundland,Canada,24,-,749,-,595,73,mun.ca
626,University of New Hampshire,USA,160,-,581,-,600,73,unh.edu
627,Konkuk University,South Korea,17,-,987,-,594,73,konkuk.ac.kr
628,Rio de Janeiro State University,Brazil,8,-,1340,-,592,72.9,uerj.br
629,Tehran University of Medical Sciences,Iran,4,-,-,-,593,72.9,tums.ac.ir
630,Binghamton University,USA,161,302,374,153,837,72.9,binghamton.edu
631,Jiangnan University,China,67,-,1334,-,598,72.9,jiangnan.edu.cn
632,Nanjing University of Information Science and Technology,China,68,-,-,-,599,72.9,nuist.edu.cn
633,University of Wyoming,USA,162,-,684,-,609,72.9,uwyo.edu
634,L.D. Landau Institute for Theoretical Physics of the Russian Academy of Sciences,Russia,9,26,-,198,1905,72.9,itp.ac.ru
635,National Polytechnic Institute,Mexico,3,-,-,-,603,72.9,ipn.mx
636,Hacettepe University,Turkey,2,-,-,-,604,72.9,hacettepe.edu.tr
637,National Research Nuclear University MEPhI,Russia,10,507,-,-,605,72.9,mephi.ru
638,Ocean University of China,China,69,-,1373,-,606,72.9,ouc.edu.cn
639,Jiangsu University,China,70,-,1248,-,608,72.8,ujs.edu.cn
640,Loyola University Chicago,USA,163,354,952,-,614,72.8,luc.edu
641,University of Texas Medical Branch,USA,164,-,-,-,610,72.8,utmb.edu
642,University of Cantabria,Spain,19,-,1420,-,612,72.8,unican.es
643,Tokyo Medical and Dental University,Japan,17,-,-,-,613,72.8,tmd.ac.jp
644,Istanbul University,Turkey,3,488,1114,-,616,72.8,istanbul.edu.tr
645,Boğaziçi University,Turkey,4,-,686,-,624,72.8,boun.edu.tr
646,University of Haifa,Israel,7,-,1057,-,618,72.8,haifa.ac.il
647,Massey University,New Zealand,4,-,949,-,620,72.8,massey.ac.nz
648,Beijing Jiaotong University,China,71,-,1300,-,617,72.8,njtu.edu.cn
649,University of Oklahoma Health Sciences Center,USA,165,-,-,-,619,72.8,ouhsc.edu
650,Shinshu University,Japan,18,-,1392,-,621,72.8,shinshu-u.ac.jp
651,Kanazawa University,Japan,19,-,627,-,634,72.7,kanazawa-u.ac.jp
652,North China Electric Power University,China,72,-,305,-,655,72.7,ncepu.edu.cn
653,University of Texas at San Antonio,USA,166,-,-,-,622,72.7,utsa.edu
654,University of Campania Luigi Vanvitelli,Italy,35,-,-,-,623,72.7,unicampania.it
655,Chung-Ang University,South Korea,18,-,1062,-,627,72.7,cau.ac.kr
656,Swinburne University of Technology,Australia,24,-,-,-,625,72.7,swinburne.edu.au
657,Southern Medical University,China,73,-,-,-,626,72.7,fimmu.com
658,Loughborough University,United Kingdom,44,-,-,269,640,72.7,lboro.ac.uk
659,Ankara University,Turkey,5,-,704,-,635,72.7,ankara.edu.tr
660,Chungnam National University,South Korea,19,-,-,-,628,72.7,cnu.ac.kr
661,University of Kent,United Kingdom,45,-,825,-,632,72.7,kent.ac.uk
662,National Chung Hsing University,Taiwan,9,-,252,-,679,72.7,nchu.edu.tw
663,"University of Nevada, Reno",USA,167,-,1084,-,631,72.6,unr.edu
664,University of Crete,Greece,4,-,-,-,629,72.6,uoc.gr
665,University of Ioannina,Greece,5,-,-,-,630,72.6,uoi.gr
666,Semmelweis University,Hungary,2,-,-,-,633,72.6,semmelweis.hu
667,University of Szeged,Hungary,3,-,-,194,753,72.6,u-szeged.hu
668,University of Greifswald,Germany,44,-,-,248,687,72.6,uni-greifswald.de
669,Courtauld Institute of Art ,United Kingdom,46,15,-,-,-,72.6,courtauld.ac.uk
670,University of Málaga,Spain,20,-,-,-,636,72.6,uma.es
671,University of Fribourg,Switzerland,10,-,334,-,671,72.6,unifr.ch
672,University of Salamanca,Spain,21,-,933,-,639,72.6,usal.es
673,Renmin University of China,China,74,-,119,-,791,72.6,ruc.edu.cn
674,University of Calabria,Italy,36,-,-,-,637,72.6,unical.it
675,University of Arkansas for Medical Sciences,USA,168,-,-,-,638,72.5,uams.edu
676,Tokyo Metropolitan University,Japan,20,194,1022,-,662,72.5,tmu.ac.jp
677,Inha University,South Korea,20,-,697,-,649,72.5,inha.ac.kr
678,Istanbul Technical University,Turkey,6,-,796,-,645,72.5,itu.edu.tr
679,University of Alaska Fairbanks,USA,169,437,762,-,648,72.5,uaf.edu
680,University of Missouri-Kansas City,USA,170,467,554,-,654,72.5,umkc.edu
681,"Birkbeck, University of London",United Kingdom,47,237,-,170,842,72.5,bbk.ac.uk
682,Nanjing Normal University,China,75,-,1005,-,644,72.5,njnu.edu.cn
683,Otto von Guericke University Magdeburg,Germany,45,-,-,-,641,72.5,ovgu.de
684,University of Debrecen,Hungary,4,-,-,-,642,72.5,unideb.hu
685,Oswaldo Cruz Foundation,Brazil,9,-,-,-,643,72.5,fiocruz.br
686,"University of Maine, Orono",USA,171,483,-,121,894,72.5,umaine.edu
687,Yokohama City University,Japan,21,-,214,-,717,72.4,yokohama-cu.ac.jp
688,Donghua University,China,76,-,1218,-,647,72.4,dhu.edu.cn
689,Roma Tre University,Italy,37,-,-,-,646,72.4,uniroma3.it
690,Heriot-Watt University,United Kingdom,48,-,533,-,663,72.4,hw.ac.uk
691,Victoria University of Wellington,New Zealand,5,367,710,-,656,72.4,victoria.ac.nz
692,"University of Maryland, Baltimore County",USA,172,-,-,235,736,72.4,umbc.edu
693,Kumamoto University,Japan,22,-,628,-,665,72.4,kumamoto-u.ac.jp
694,Taipei Medical University,Taiwan,10,-,-,-,650,72.4,tmu.edu.tw
695,Hong Kong Baptist University,China,77,-,1394,-,652,72.4,hkbu.edu.hk
696,Vilnius University,Lithuania,1,-,-,-,653,72.4,vu.lt
697,Indian Institute of Technology Kharagpur,India,8,-,549,-,672,72.4,iitkgp.ac.in
698,Mississippi State University,USA,173,328,412,-,694,72.4,msstate.edu
699,Hefei University of Technology,China,78,-,812,-,660,72.4,hfut.edu.cn
700,University of Angers,France,31,-,-,-,657,72.3,univ-angers.fr
701,Bangor University,United Kingdom,49,200,843,247,744,72.3,bangor.ac.uk
702,Augusta University,USA,174,-,-,-,658,72.3,augusta.edu
703,Tianjin Medical University,China,79,-,-,-,661,72.3,tijmu.edu.cn
704,China University of Mining and Technology,China,80,-,898,-,668,72.3,cumt.edu.cn
705,Northeast Normal University,China,81,-,-,-,664,72.3,nenu.edu.cn
706,University of Johannesburg,South Africa,6,-,972,-,667,72.3,uj.ac.za
707,Isfahan University of Technology,Iran,5,-,-,-,666,72.3,iut.ac.ir
708,SUNY Downstate Medical Center,USA,175,-,-,149,892,72.3,downstate.edu
709,King Fahd University of Petroleum and Minerals,Saudi Arabia,4,-,113,-,836,72.3,kfupm.edu.sa
710,Niigata University,Japan,23,-,747,-,674,72.3,niigata-u.ac.jp
711,"University of North Texas, Denton",USA,176,-,804,-,673,72.3,unt.edu
712,Federal University of Santa Catarina,Brazil,10,-,1490,-,669,72.2,ufsc.br
713,American University of Beirut,Lebanon,1,251,191,-,773,72.2,aub.edu.lb
714,"Graduate Faculty, General Research Institute For Nonferrous Metals",China,82,-,24,-,-,72.2,grinm.com/p346.aspx
715,University of Western Brittany,France,32,-,-,-,670,72.2,univ-brest.fr
716,University of Macau,China,83,-,482,-,695,72.2,umac.mo
717,Warsaw University of Technology,Poland,4,357,1140,-,677,72.2,pw.edu.pl
718,International School for Advanced Studies,Italy,38,-,-,-,675,72.2,sissa.it
719,Kitasato University,Japan,24,-,-,124,938,72.2,kitasato-u.ac.jp
720,University of Massachusetts Boston,USA,177,-,1144,185,832,72.2,umb.edu
721,Montana State University - Bozeman,USA,178,-,1261,-,680,72.2,montana.edu
722,University of Vigo,Spain,22,-,-,-,681,72.2,uvigo.gal
723,Kangwon National University,South Korea,21,-,1486,-,682,72.2,kangwon.ac.kr
724,Ajou University,South Korea,22,-,1011,-,683,72.2,ajou.ac.kr
725,University Paris-Est Créteil,France,33,-,817,-,686,72.1,u-pec.fr
726,Panjab University,India,9,503,667,-,692,72.1,puchd.ac.in
727,National University of Defense Technology,China,84,-,1237,-,685,72.1,nudt.edu.cn
728,University of Castilla–La Mancha,Spain,23,-,-,-,684,72.1,uclm.es
729,Technical University of Braunschweig,Germany,46,462,1058,-,689,72.1,tu-braunschweig.de
730,University of Lübeck,Germany,47,-,-,-,688,72.1,uni-luebeck.de
731,Zhejiang University of Technology,China,85,-,1220,-,690,72.1,zjut.edu.cn
732,Tokyo University of Science,Japan,25,306,1050,-,697,72.1,tus.ac.jp
733,Nanchang University,China,86,-,1284,-,691,72.1,ncu.edu.cn
734,Southwest Jiaotong University,China,87,-,798,-,696,72.1,swjtu.edu.cn
735,Sorbonne Paris Nord University,France,34,-,-,-,693,72.1,univ-paris13.fr
736,South China Normal University,China,88,-,1023,-,699,72.1,scnu.edu.cn
737,University of Salento,Italy,39,-,-,-,698,72.1,unisalento.it
738,Army Medical University,China,89,-,-,-,700,72,tmmu.edu.cn
739,Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences,Russia,11,-,-,-,701,72,inp.nsk.su
740,Osaka City University,Japan,26,234,530,-,730,72,osaka-cu.ac.jp
741,University of Idaho,USA,179,-,-,-,702,72,uidaho.edu
742,University of Cyprus,Cyprus,1,-,-,-,703,72,ucy.ac.cy
743,Kent State University,USA,180,-,-,-,704,72,kent.edu
744,University of Girona,Spain,24,-,-,-,705,72,udg.edu
745,Ohio University,USA,181,395,364,-,739,72,ohio.edu
746,Federal University of Paraná,Brazil,11,-,1262,-,707,72,ufpr.br
747,"University of the Andes, Colombia",Colombia,1,-,398,-,734,72,uniandes.edu.co
748,University of Montana,USA,182,273,-,-,713,72,umt.edu
749,Örebro University,Sweden,12,-,822,-,709,72,oru.se
750,University of Essex,United Kingdom,50,509,646,-,718,72,essex.ac.uk
751,Southern University of Science and Technology,China,90,-,-,-,708,71.9,sustc.edu.cn
752,Air Force Medical University,China,91,-,-,-,710,71.9,fmmu.edu.cn
753,Quaid-i-Azam University,Pakistan,1,-,-,-,711,71.9,qau.edu.pk
754,"University of Science, Malaysia",Malaysia,2,-,-,-,712,71.9,usm.my
755,Beijing University of Posts and Telecommunications,China,92,-,446,-,737,71.9,bupt.edu.cn
756,"Northwest University, China",China,93,-,-,-,714,71.9,nwu.edu.cn
757,Centrale Lille Institut,France,35,-,99,-,961,71.9,centralelille.fr
758,University of Wuppertal,Germany,48,-,-,-,715,71.9,uni-wuppertal.de
759,Amirkabir University of Technology,Iran,6,-,-,-,716,71.9,aut.ac.ir
760,Beijing University of Technology,China,94,-,-,-,719,71.9,bjut.edu.cn
761,Yeungnam University,South Korea,23,-,369,-,750,71.9,yu.ac.kr
762,University of Murcia,Spain,25,-,-,-,720,71.9,um.es
763,University of Split,Croatia,2,-,-,-,721,71.9,unist.hr
764,Kaohsiung Medical University,Taiwan,11,-,-,-,722,71.8,kmu.edu.tw
765,Marche Polytechnic University,Italy,40,-,-,-,723,71.8,univpm.it
766,Qingdao University,China,95,-,-,-,724,71.8,qdu.edu.cn
767,Gwangju Institute of Science and Technology,South Korea,24,-,-,-,725,71.8,gist.ac.kr
768,University of Patras,Greece,6,-,-,-,726,71.8,upatras.gr
769,Yangzhou University,China,96,-,1500,-,727,71.8,yzu.edu.cn
770,University of the Balearic Islands,Spain,26,-,-,-,729,71.8,uib.eu
771,Norwegian University of Life Sciences,Norway,5,-,895,-,733,71.8,nmbu.no
772,Getúlio Vargas Foundation,Brazil,12,-,32,-,-,71.8,fgv.br
773,"University of Córdoba, Spain",Spain,27,-,-,-,731,71.8,uco.es
774,Yerevan Physics Institute,Armenia,1,-,-,-,732,71.8,yerphi.am
775,Nagasaki University,Japan,27,285,285,-,799,71.8,nagasaki-u.ac.jp
776,University of Denver,USA,183,-,181,-,854,71.8,du.edu
777,University of Tours,France,36,160,-,-,779,71.8,univ-tours.fr
778,"Open University, UK",United Kingdom,51,-,1513,-,738,71.7,open.ac.uk
779,National Sun Yat-sen University,Taiwan,12,-,-,-,740,71.7,nsysu.edu.tw
780,Sejong University,South Korea,25,-,-,-,741,71.7,sejong.ac.kr
781,Northern Illinois University,USA,184,-,687,-,748,71.7,niu.edu
782,Gyeongsang National University,South Korea,26,-,-,-,742,71.7,gnu.ac.kr
783,Nanjing University of Posts and Telecommunications,China,97,-,1006,-,745,71.7,njupt.edu.cn
784,Kindai University,Japan,28,-,-,-,743,71.7,kindai.ac.jp
785,Miami University,USA,185,-,123,-,926,71.7,miamioh.edu
786,Wesleyan University,USA,186,-,52,-,1483,71.7,wesleyan.edu
787,Jean Monnet University,France,37,-,-,-,746,71.7,univ-st-etienne.fr
788,Juntendo University,Japan,29,-,-,-,747,71.7,juntendo.ac.jp
789,University of North Carolina at Charlotte,USA,187,-,610,-,760,71.7,uncc.edu
790,Jawaharlal Nehru University,India,10,487,-,78,1258,71.7,jnu.ac.in
791,"University of Natural Resources and Life Sciences, Vienna",Austria,8,-,-,-,749,71.7,boku.ac.at
792,Aberystwyth University,United Kingdom,52,-,785,207,903,71.6,aber.ac.uk
793,University of L'Aquila,Italy,41,-,-,-,751,71.6,univaq.it
794,Ain Shams University,Egypt,2,-,-,-,752,71.6,asu.edu.eg
795,National Taiwan University of Science and Technology,Taiwan,13,-,1105,-,757,71.6,ntust.edu.tw
796,South China Agricultural University,China,98,-,1493,-,754,71.6,scau.edu.cn
797,Shizuoka University,Japan,30,-,1187,93,1141,71.6,shizuoka.ac.jp
798,Belarusian State University,Belarus,1,-,-,-,755,71.6,bsu.by
799,Tarbiat Modares University,Iran,7,-,-,-,756,71.6,modares.ac.ir
800,University of Rhode Island,USA,188,-,523,-,785,71.6,uri.edu
801,University of Toledo,USA,189,-,-,-,758,71.6,utoledo.edu
802,"Putra University, Malaysia",Malaysia,3,-,1457,-,759,71.6,upm.edu.my
803,USI - University of Italian Speaking Switzerland,Switzerland,11,-,-,-,761,71.6,usi.ch
804,Graz University of Technology,Austria,9,-,-,-,762,71.6,tugraz.at
805,Carl von Ossietzky University of Oldenburg,Germany,49,-,-,-,763,71.6,uol.de
806,University of Louisiana at Lafayette,USA,190,-,-,-,764,71.5,louisiana.edu
807,Carlos III University of Madrid,Spain,28,-,-,-,765,71.5,uc3m.es
808,University of Caen Normandy,France,38,-,-,-,766,71.5,unicaen.fr
809,Harbin Medical University,China,99,-,-,-,767,71.5,hrbmu.edu.cn
810,Ege University,Turkey,7,-,-,-,769,71.5,ege.edu.tr
811,"University of Nevada, Las Vegas",USA,191,-,1069,-,771,71.5,unlv.edu
812,Polytechnic University of Bari,Italy,42,-,-,-,770,71.5,poliba.it
813,Jawaharlal Nehru Centre for Advanced Scientific Research,India,11,-,-,114,1106,71.5,jncasr.ac.in
814,Wenzhou Medical University,China,100,-,-,-,772,71.5,wmu.edu.cn
815,Hasselt University,Belgium,8,-,653,-,789,71.5,uhasselt.be
816,National University of Colombia,Colombia,2,-,805,-,786,71.5,unal.edu.co
817,Shaanxi Normal University,China,101,-,-,-,774,71.5,snnu.edu.cn
818,"China Medical University, PRC",China,102,-,-,-,775,71.5,cmu.edu.cn
819,Old Dominion University,USA,192,-,-,-,776,71.5,odu.edu
820,University of Siegen,Germany,50,-,1442,-,777,71.4,uni-siegen.de
821,Shanxi University,China,103,-,1472,-,778,71.4,sxu.edu.cn
822,Hohai University,China,104,-,1387,-,781,71.4,hhu.edu.cn
823,University of Messina,Italy,43,-,-,-,780,71.4,unime.it
824,University of Concepción,Chile,3,-,-,-,782,71.4,udec.cl
825,Guangdong University of Technology,China,105,-,-,-,783,71.4,gdut.edu.cn
826,Gazi University,Turkey,8,-,1370,-,784,71.4,gazi.edu.tr
827,Liverpool John Moores University,United Kingdom,53,-,-,-,787,71.4,ljmu.ac.uk
828,Ryerson University,Canada,25,-,-,-,788,71.4,ryerson.ca
829,Cranfield University,United Kingdom,54,-,178,-,912,71.4,cranfield.ac.uk
830,Indian Institute of Technology Kanpur,India,12,-,514,-,804,71.4,iitk.ac.in
831,Norwegian School of Economics,Norway,6,456,41,-,-,71.4,nhh.no
832,University of Hohenheim,Germany,51,-,-,-,790,71.4,uni-hohenheim.de
833,University of Wrocław,Poland,5,464,1332,252,856,71.4,uni.wroc.pl
834,East Carolina University,USA,193,-,722,-,800,71.3,ecu.edu
835,University of Alcalá,Spain,29,-,-,-,792,71.3,uah.es
836,Adam Mickiewicz University in Poznań,Poland,6,-,-,-,793,71.3,amu.edu.pl
837,Southern Illinois University Carbondale,USA,194,-,1423,-,795,71.3,siu.edu
838,Brazilian Center for Research in Physics (CBPF),Brazil,13,-,-,-,794,71.3,cbpf.br
839,Uniformed Services University of the Health Sciences,USA,195,-,-,-,796,71.3,usuhs.edu
840,University of Orléans,France,39,-,1445,-,798,71.3,univ-orleans.fr
841,Rutgers University–Newark,USA,196,-,858,-,802,71.3,newark.rutgers.edu
842,University of Alicante,Spain,30,-,-,-,801,71.3,ua.es
843,INSA Toulouse,France,40,-,547,-,822,71.3,insa-toulouse.fr
844,Federico Santa María Technical University,Chile,4,-,1137,-,803,71.3,usm.cl
845,University of Brasília,Brazil,14,-,924,-,806,71.3,unb.br
846,University of Basilicata,Italy,44,-,-,-,805,71.3,unibas.it
847,Beijing Forestry University,China,106,-,-,-,807,71.3,bjfu.edu.cn
848,New Mexico State University,USA,197,469,766,-,815,71.3,nmsu.edu
849,Indian Institute of Technology Roorkee,India,13,-,279,-,874,71.2,iitr.ac.in
850,University of Jinan,China,107,-,1368,-,808,71.2,ujn.edu.cn
851,University of Brighton,United Kingdom,55,-,-,-,809,71.2,brighton.ac.uk
852,"University of California, Merced",USA,198,-,-,-,810,71.2,ucmerced.edu
853,Banaras Hindu University,India,14,332,665,-,834,71.2,bhu.ac.in
854,University of Mons,Belgium,9,-,-,-,811,71.2,umons.ac.be
855,Northern Arizona University,USA,199,-,1138,-,814,71.2,nau.edu
856,Graduate University for Advanced Studies,Japan,31,-,-,-,812,71.2,soken.ac.jp
857,Keele University,United Kingdom,56,-,-,-,813,71.2,keele.ac.uk
858,Murdoch University,Australia,25,-,854,-,821,71.2,murdoch.edu.au
859,University of Windsor,Canada,26,-,172,-,957,71.2,uwindsor.ca
860,University of Valladolid,Spain,31,-,1241,-,816,71.2,uva.es
861,Portland State University,USA,200,-,359,-,862,71.2,pdx.edu
862,Babeș-Bolyai University,Romania,1,-,-,-,817,71.2,ubbcluj.ro
863,University of Insubria,Italy,45,-,-,-,818,71.1,uninsubria.it
864,Benemérita Autonomous University of Puebla,Mexico,4,-,-,-,819,71.1,buap.mx
865,Federal University of Pernambuco,Brazil,15,-,1193,-,820,71.1,ufpe.br
866,TU Kaiserslautern,Germany,52,-,1115,-,823,71.1,uni-kl.de
867,"City, University of London",United Kingdom,57,517,432,-,855,71.1,city.ac.uk
868,Sofia University,Bulgaria,1,164,-,-,866,71.1,uni-sofia.bg
869,Guangzhou Medical University,China,108,-,-,-,824,71.1,gzhmu.edu.cn
870,University of Hyogo,Japan,32,-,-,93,1286,71.1,u-hyogo.ac.jp
871,COMSATS University Islamabad,Pakistan,2,-,-,-,825,71.1,comsats.edu.pk
872,Nihon University,Japan,33,516,1213,-,827,71.1,nihon-u.ac.jp
873,"All India Institute of Medical Sciences, New Delhi",India,15,-,-,-,826,71.1,aiims.edu
874,University of Akron,USA,201,-,748,-,835,71.1,uakron.edu
875,Meijo University,Japan,34,-,-,48,1769,71.1,meijo-u.ac.jp
876,Jaume I University,Spain,32,-,-,-,828,71.1,uji.es
877,University of Stirling,United Kingdom,58,-,606,-,845,71.1,stir.ac.uk
878,Pepperdine University,USA,202,92,76,159,-,71,pepperdine.edu
879,Paul Valéry University,France,41,-,-,-,829,71,univ-montp3.fr
880,Harbin Engineering University,China,109,-,-,-,830,71,hrbeu.edu.cn
881,"University of Science and Technology, Korea",South Korea,27,-,-,-,833,71,ust.ac.kr
882,University of Portsmouth,United Kingdom,59,-,1008,-,839,71,port.ac.uk
883,Bucknell University,USA,203,-,50,-,1790,71,bucknell.edu
884,University of Poitiers,France,42,333,-,-,848,71,univ-poitiers.fr
885,Ivane Javakhishvili Tbilisi State University,Georgia,1,-,-,-,838,71,tsu.ge
886,National University of Malaysia (UKM),Malaysia,4,-,-,-,840,71,ukm.my
887,Iran University of Science and Technology,Iran,8,-,-,-,841,71,iust.ac.ir
888,Chongqing Medical University,China,110,-,-,-,843,71,cqmu.edu.cn
889,Institut national de la recherche scientifique,Canada,27,-,-,-,844,71,inrs.ca
890,Colgate University,USA,204,-,47,-,1920,71,colgate.edu
891,Dongguk University,South Korea,28,-,540,-,864,71,dongguk.edu
892,Inje University,South Korea,29,-,-,-,846,71,inje.ac.kr
893,University POLITEHNICA of Bucharest,Romania,2,-,-,-,847,71,upb.ro
894,National Research University Higher School of Economics,Russia,12,-,-,-,849,70.9,hse.ru
895,Gachon University,South Korea,30,-,-,-,850,70.9,gachon.ac.kr
896,Michigan Technological University,USA,205,342,984,-,852,70.9,mtu.edu
897,London Business School,United Kingdom,60,-,64,-,1495,70.9,london.edu
898,Budapest University of Technology and Economics,Hungary,5,223,-,-,872,70.9,bme.hu
899,Sanford Burnham Prebys Medical Discovery Institute,USA,206,-,-,-,851,70.9,sbpdiscovery.org
900,University of Seoul,South Korea,31,-,-,-,853,70.9,uos.ac.kr
901,Tokushima University,Japan,35,142,849,-,918,70.9,tokushima-u.ac.jp
902,Cheung Kong Graduate School of Business,China,111,-,31,-,-,70.9,ckgsb.edu.cn
903,Ulster University,United Kingdom,61,-,-,-,857,70.9,ulster.ac.uk
904,Gabriele d’Annunzio University,Italy,46,-,-,-,858,70.9,unich.it
905,Çukurova University,Turkey,9,-,-,-,859,70.9,cu.edu.tr
906,Federal University of ABC,Brazil,16,-,-,-,860,70.9,ufabc.edu.br
907,University of Luxembourg,Luxembourg,1,-,-,-,861,70.9,uni.lu
908,Antioch College,USA,207,22,-,-,-,70.9,antiochcollege.edu
909,Missouri University of Science and Technology,USA,208,-,418,-,895,70.8,mst.edu
910,Bilkent University,Turkey,10,-,801,-,868,70.8,bilkent.edu.tr
911,Medical University of Warsaw,Poland,7,-,-,-,863,70.8,wum.edu.pl
912,Tomsk State University,Russia,13,-,-,-,865,70.8,tsu.ru
913,"University of the Republic, Uruguay",Uruguay,1,-,1510,-,867,70.8,universidad.edu.uy
914,Chungbuk National University,South Korea,32,-,-,-,869,70.8,chungbuk.ac.kr
915,National University of Córdoba,Argentina,3,-,-,-,870,70.8,unc.edu.ar
916,University of Texas Rio Grande Valley,USA,209,-,-,-,871,70.8,utrgv.edu
917,North Dakota State University,USA,210,320,1092,-,879,70.8,ndsu.edu
918,Claremont McKenna College,USA,211,-,45,-,-,70.8,cmc.edu
919,Peter the Great St. Petersburg Polytechnic University,Russia,14,479,946,-,875,70.8,spbstu.ru
920,Henan University,China,112,-,-,-,873,70.8,henu.edu.cn
921,Federal University of Viçosa,Brazil,17,-,-,-,876,70.8,ufv.br
922,North-West University,South Africa,7,-,-,-,877,70.8,nwu.ac.za
923,Makerere University,Uganda,1,-,1388,-,878,70.8,mak.ac.ug
924,University of Franche-Comté,France,43,482,-,-,880,70.8,univ-fcomte.fr
925,Johannes Kepler University Linz,Austria,10,-,821,-,888,70.7,jku.at
926,University of Memphis,USA,212,-,484,-,909,70.7,memphis.edu
927,Anhui University,China,113,-,966,-,886,70.7,ahu.edu.cn
928,Tunis El Manar University,Tunisia,1,-,-,-,881,70.7,utm.rnu.tn
929,China Pharmaceutical University,China,114,-,1242,-,882,70.7,cpu.edu.cn
930,Chiang Mai University,Thailand,3,-,1483,-,883,70.7,cmu.ac.th
931,Tokai University,Japan,36,-,-,-,884,70.7,u-tokai.ac.jp
932,Federal University of Ceará,Brazil,18,-,1362,-,885,70.7,ufc.br
933,Oberlin College,USA,213,30,-,-,-,70.7,oberlin.edu
934,Hangzhou Normal University,China,115,-,1453,-,887,70.7,hznu.edu.cn
935,Ritsumeikan University,Japan,37,-,590,-,904,70.7,ritsumei.ac.jp
936,"University of Technology, Malaysia",Malaysia,5,-,-,-,889,70.7,utm.my
937,Shandong First Medical University & Shandong Academy of Medical Sciences,China,116,-,-,-,890,70.7,sdfmu.edu.cn
938,Guangxi University,China,117,-,-,-,891,70.7,gxu.edu.cn
939,Northumbria University,United Kingdom,62,-,838,-,896,70.7,northumbria.ac.uk
940,Wroclaw Medical University,Poland,8,-,-,-,893,70.6,umed.wroc.pl
941,Ehime University,Japan,38,-,1031,-,900,70.6,ehime-u.ac.jp
942,College of the Holy Cross,USA,214,175,48,-,-,70.6,holycross.edu
943,Federal University of Pelotas,Brazil,19,-,-,-,898,70.6,ufpel.edu.br
944,Ningbo University,China,118,-,1372,-,899,70.6,nbu.edu.cn
945,Federal University of São Carlos,Brazil,20,-,-,-,901,70.6,ufscar.br
946,Tokyo University of Agriculture and Technology,Japan,39,-,-,-,902,70.6,tuat.ac.jp
947,Victoria University,Australia,26,-,-,-,905,70.6,vu.edu.au
948,University of Limerick,Ireland,5,-,807,-,910,70.6,ul.ie
949,Shiraz University,Iran,9,-,-,-,906,70.6,shirazu.ac.ir
