rank,name,location,national_rank,quality_of_education,alumni_employment,quality_of_faculty,research_performance,score,domain
1976,Southwest Medical University,China,261,-,-,-,1895,65.9,swmu.edu.cn
1977,University of Veracruz,Mexico,19,-,-,-,1896,65.9,uv.mx
1978,Central University of Finance and Economics,China,262,-,659,-,1942,65.9,cufe.edu.cn
1979,Xinyang Normal University,China,263,-,-,-,1897,65.9,xynu.edu.cn
1980,Shahid Chamran University of Ahvaz,Iran,37,-,-,-,1898,65.9,scu.ac.ir
1981,National Pingtung University of Science and Technology,Taiwan,37,-,-,-,1899,65.9,npust.edu.tw
1982,Pondicherry University,India,63,-,-,-,1900,65.9,pondiuni.edu.in
1983,University of Bergamo,Italy,66,-,-,-,1901,65.9,unibg.it
1984,Shanghai University of Engineering Science,China,264,-,1436,-,1902,65.9,sues.edu.cn
1985,Shahrood University of Technology,Iran,38,-,-,-,1903,65.9,shahroodut.ac.ir
1986,Central South University of Forestry and Technology,China,265,-,-,-,1906,65.9,csuft.edu.cn
1987,École des hautes études en santé publique,France,82,-,-,-,1907,65.8,ehesp.fr
1988,University of Sousse,Tunisia,5,-,-,-,1908,65.8,uc.rnu.tn
1989,St. Lawrence University,USA,356,-,120,-,-,65.8,stlawu.edu
1990,Jiaxing University,China,266,-,-,-,1909,65.8,zjxu.edu.cn
1991,"Indian Institute of Science Education and Research, Thiruvananthapuram",India,64,-,-,-,1910,65.8,iisertvm.ac.in
1992,Santa Catarina State University,Brazil,56,-,1019,-,1916,65.8,udesc.br
1993,Vilnius Gediminas Technical University,Lithuania,5,-,-,-,1911,65.8,vgtu.lt
1994,The New School,USA,357,513,-,-,1912,65.8,newschool.edu
1995,Chengdu University of Information Technology,China,267,-,-,-,1915,65.8,cuit.edu.cn
1996,Polytechnic Institute of Bragança,Portugal,15,-,-,-,1917,65.8,ipb.pt
1997,Federal University of Maranhão,Brazil,57,-,-,-,1918,65.8,ufma.br
1998,Autonomous University of Baja California,Mexico,20,-,-,-,1921,65.8,uabc.mx
1999,American University in Cairo,Egypt,18,-,299,-,-,65.8,aucegypt.edu
2000,Kyonggi University,South Korea,61,-,-,-,1922,65.8,kyonggi.ac.kr
